IDZamowienia;IDKlienta;PrzedstKonta;DataZamowienia;DataWysylki;WyslanePrzez;KosztWysylki;NazwaWysylki;AdresWysylki;MiastoWysylki;RegionWysylki;KodPocztowyWysylki;KrajWysylki;DataWymagana
11079;1;4;2010-01-05 00:00:00.000;2010-01-07 00:00:00.000;5;18;Eric Lang;991 S. Mississippi Rd.;St. Louis;MO;89203;USA;NULL
11080;2;4;2010-01-05 00:00:00.000;2010-01-06 00:00:00.000;4;13,25;Pilar Ackerman;8808 Backbay St.;Boston;MA;88337;USA;NULL
11081;3;6;2010-01-06 00:00:00.000;2010-01-07 00:00:00.000;4;8,95;Kevin Browne;666 Fords Landing;Westover;WV;66954;USA;NULL
11082;4;6;2010-01-06 00:00:00.000;2010-01-08 00:00:00.000;3;5,5;Karan Khanna;401 Rodeo Dr.;Auburn;WA;34923;USA;2010-01-12 00:00:00.000
11083;5;4;2010-01-08 00:00:00.000;2010-01-09 00:00:00.000;3;28;Mary Anne Kobylka;4568 Spaulding Ave. N.;Seattle;WA;12345;USA;2010-01-12 00:00:00.000
11084;6;6;2010-01-12 00:00:00.000;2010-01-14 00:00:00.000;3;8,5;Arlette Cox;14 S. Elm Dr.;Moscow;ID;2912;USA;NULL
11085;7;7;2010-01-12 00:00:00.000;2010-01-13 00:00:00.000;4;3;Luciana Ramos;12 Juanita Ln.;Helena;MT;42665;USA;NULL
11086;8;5;2010-01-12 00:00:00.000;2010-01-13 00:00:00.000;3;6,95;Lani Ota;78 Miller St.;Seattle;WA;81233;USA;NULL
11087;9;4;2010-01-12 00:00:00.000;2010-01-13 00:00:00.000;5;20;John Thorson;27 Christopher St.;Seattle;WA;67645;USA;NULL
11088;10;7;2010-01-13 00:00:00.000;2010-01-14 00:00:00.000;3;7,95;Geof Miller;18 Elm St.;Tulalip;WA;77483;USA;NULL
11089;11;6;2010-01-14 00:00:00.000;2010-01-16 00:00:00.000;4;7,5;Modesto Estrada;511 Lincoln Ave.;Burns;OR;27182;USA;2010-01-19 00:00:00.000
11090;12;7;2010-01-14 00:00:00.000;2010-01-16 00:00:00.000;5;14,5;Roland Hofmann;42 El Camino Dr.;Seattle;WA;11299;USA;NULL
11091;13;4;2010-01-15 00:00:00.000;2010-01-19 00:00:00.000;4;24,5;Michael Holm;4220 Main St.;Bellevue;WA;39200;USA;2010-01-20 00:00:00.000
11092;14;7;2010-01-16 00:00:00.000;2010-01-19 00:00:00.000;3;17;Teresa Atkinson;89 Cedar Way;Redmond;WA;30293;USA;NULL
11093;15;6;2010-01-19 00:00:00.000;2010-01-21 00:00:00.000;5;0;Paula Bento;6778 Cypress Pkwy.;Oak Harbor;WA;30291;USA;NULL
11094;16;4;2010-01-22 00:00:00.000;2010-01-23 00:00:00.000;1;4,35;Martin BankovAmie Baldwin;78 Riverside Dr.;Woodinville;WA;27283;USA;NULL
11095;17;7;2010-01-22 00:00:00.000;2010-01-24 00:00:00.000;5;18,95;Jon Ganio;45 Winding Wood Blvd.;Seattle;WA;38293;USA;NULL
11096;18;6;2010-01-22 00:00:00.000;2010-01-23 00:00:00.000;NULL;14,4;Cecilia Cornejo;778 Ancient Rd.;Bellevue;WA;54930;USA;NULL
11097;19;6;2010-01-22 00:00:00.000;2010-01-23 00:00:00.000;4;30;Judy Kaethler;4110 Old Redmond Rd.;Redmond;WA;77382;USA;2010-01-27 00:00:00.000
